Project,StationCode,Sample Year,SampleDate,Replicate,UniqueID,CollectionTime,CollectionMethod_BMI,UniqueID_CSCI,CSCI Score,So Cal IBI,North Coast IBI,UniqueID_IPI,IPI,UniqueID_ASCI,ASCIdiatom,ASCIsba,ASCIhybrid,D18,H20,S2,CRAM,Mean Water Alkalinity Total (mg/L),Mean Water Dissolved Oxygen (mg/L),Mean Water pH,Mean Water Specific Conductivity (uS/cm),Mean Water Temperature (C),Mean Water Temperature (F),Mean Water Turbidity (NTU)
SMCWPPP_CSM_WY2013,202R00248,2013,5/23/2013,2,,,BMI_RWB,202R00248_2013_BMI_RWB_2,1.02041315986871,,,NA,,202R00248_5/23/2013_2,0.559284359,0.545815667,0.538850062,,,,,,10.4,7.6,886,11.65,,
SMCWPPP_CSM_WY2013,202R00280,2013,5/22/2013,1,,,BMI_RWB,202R00280_41416_1,0.847352,,,NA,,202R00280_5/22/2013_1,0.89366064,0.893509653,0.819989073,,,,,,11.14,7.59,703,9.75,,
SMCWPPP_CSM_WY2012,202R00284,2012,6/15/2012,1,,,BMI_RWB,202R00284_41075_1,0.79,,,NA,,202R00284_6/15/2012_1,0.999496394,1.124426092,0.818326056,,,,,,10.65,6.81,265,12.5,,
SMCWPPP_CSM_WY2014,202R00328,2014,5/7/2014,1,,,BMI_RWB,202R00328_41766_1,1.010255,,,NA,,202R00328_5/7/2014_1,0.783570492,0.497261704,0.842883435,,,,,,10.4,7.54,298,10.82,,
SMCWPPP_CSM_WY2015,202R00378,2015,4/23/2015,1,,,BMI_RWB,202R00378_42117_1,0.931525,,,NA,,202R00378_4/23/2015_1,1.0373678,0.704283123,0.942811919,,,,,,10.03,8.16,830,10.8,,
SMCWPPP_CSM_WY2015,202R00440,2015,5/13/2015,1,,,BMI_RWB,202R00440_42137_1,1.164471,,,NA,,202R00440_5/13/2015_1,0.960542706,0.704283123,0.960899539,,,,,,10.7,8.45,665.2,10.7,,
SMCWPPP_CSM_WY2016,202R00488,2016,5/10/2016,1,,,BMI_RWB,202R00488_42500_1,0.548032,,,202R00488_2016_SMCWPPP,1.04,202R00488_5/10/2016_1,0.510815925,0.578184977,0.598274464,,,,,,10.31,8.25,8.29,12.1,,
SMCWPPP_CSM_WY2016,202R00506,2016,5/9/2016,1,,,BMI_RWB,202R00506_42499_1,1.11456,,,202R00506_2016_SMCWPPP,1.06,202R00506_5/9/2016_1,0.747911294,0.704283123,0.635030445,,,,,,10.45,8.19,412,11.2,,
SMCWPPP_CSM_WY2017,202R00550,2017,5/30/2017,1,,,BMI_RWB,202R00550_42885_1,0.87,,,202R00550_2017_SMCWPPP,1.03,202R00550_5/30/2017_1,0.701777163,1.056424685,0.763637041,,,,,,10.12,7.96,519,11.69,,
SMCWPPP_CSM_WY2017,202R00552,2017,5/24/2017,1,,,BMI_RWB,202R00552_42879_1,1.16,,,202R00552_2017_SMCWPPP,0.81,202R00552_5/24/2017_1,0.901767423,1.191346204,0.971772403,,,,,,10.4,8.21,443,11.9,,
SMCWPPP_CSM_WY2018,202R00584,2018,5/15/2018,1,,1/0/1900,BMI_RWB,202R00584_2018_BMI_RWB_1,0.861037357,,,202R00584_2018_SMCWPPP,0.8,202R00584_5/15/2018_1,0.782152355,0,0.74383957,,,,,,9.49,7.54,320.9,13.3,,
SMCWPPP_CSM_WY2018,202R00614,2018,5/14/2018,1,,1/0/1900,BMI_RWB,202R00614_2018_BMI_RWB_1,1.17260842,,,202R00614_2018_SMCWPPP,1.04,202R00614_5/14/2018_1,0.999454109,0.480902119,0.863861227,,,,,,10.54,7.95,644,13.7,,
SMCWPPP_CSM_WY2018,202R00614,2018,5/14/2018,2,,1/0/1900,BMI_RWB,202R00614_2018_BMI_RWB_2,1.206487309,,,202R00614_2018_SMCWPPP,1.04,202R00614_5/14/2018_2,0.872501991,0.732022745,0.871769097,,,,,,10.54,7.95,644,13.7,,
SMCWPPP_CSM_WY2013,202R00908,2013,5/21/2013,1,,,BMI_RWB,202R00908_41415_1,0.165696,,,NA,,202R00908_5/21/2013_1,0.694531498,0.402648439,0.474074838,,,,,,8.55,7.51,697,21.56,,
SMCWPPP_CSM_WY2014,202R00972,2014,5/8/2014,1,,,BMI_RWB,202R00972_41767_1,0.481564,,,NA,,202R00972_5/8/2014_1,0.951336578,0.308035174,0.968709561,,,,,,10.5,7.56,251,11.41,,
SMCWPPP_CSM_WY2014,202R01308,2014,5/7/2014,1,,,BMI_RWB,202R01308_41766_1,0.310968,,,NA,,202R01308_5/7/2014_1,1.062284364,0.308035174,1.053990358,,,,,,9.41,7.39,300,14.23,,
SMCWPPP_CSM_WY2014,202R01308,2014,5/7/2014,2,,1/0/1900,BMI_RWB,202R01308_2014_BMI_RWB_2,0.430838203619669,,,NA,,202R01308_5/7/2014_2,0.795511619,0.849403265,1.076219026,,,,,,9.41,7.39,300,14.23,,
SMCWPPP_CSM_WY2020,202R01308,2020,5/18/2020,1,,1/0/1900,BMI_RWB,202R01308_2020_BMI_RWB_1,0.651102733,,,202R01308_2020_SMCWPPP,0.86,202R01308_5/18/2020_1,0.790995467,NA,0.779776938,,,,,,10.17,7.34,437.6,14.3,,
SMCWPPP_CSM_WY2015,202R01356,2015,5/11/2015,1,,,BMI_RWB,202R01356_42135_1,0.905189,,,NA,,202R01356_5/11/2015_1,1.018263057,NA,1.201595617,,,,,,10.53,7.81,457.7,11.1,,
SMCWPPP_CSM_WY2015,202R01612,2015,5/11/2015,1,,,BMI_RWB,202R01612_42135_1,0.895493,,,NA,,202R01612_5/11/2015_1,0.897889942,NA,1.039174861,,,,,,10.58,8.11,397.6,11.7,,
SMCWPPP_CSM_WY2016,202R02332,2016,5/10/2016,1,,,BMI_RWB,202R02332_42500_1,0.508687,,,202R02332_2016_SMCWPPP,0.68,202R02332_5/10/2016_1,0.537037488,NA,0.428232541,,,,,,10.3,7.89,569.7,12.7,,
SMCWPPP_CSM_WY2018,202R03404,2018,5/17/2018,1,,1/0/1900,BMI_RWB,202R03404_2018_BMI_RWB_1,0.652999961,,,202R03404_2018_SMCWPPP,1,202R03404_5/17/2018_1,0.784875292,1.232495466,0.694086788,,,,,,9.99,7.92,458.7,13.5,,
SMCWPPP_CSM_WY2018,202R03656,2018,5/15/2018,1,,1/0/1900,BMI_RWB,202R03656_2018_BMI_RWB_1,0.706022671,,,202R03656_2018_SMCWPPP,0.7,202R03656_5/15/2018_1,0.740569706,NA,0.76103572,,,,,,10.3,7.66,379.3,12.8,,
SMCWPPP_CSM_WY2018,202R03880,2018,5/22/2018,1,,1/0/1900,BMI_RWB,202R03880_2018_BMI_RWB_1,0.98616078,,,202R03880_2018_SMCWPPP,1.15,202R03880_5/22/2018_1,0.937518132,1.408566246,1.024743374,,,,,,12.46,8.19,496.5,10.7,,
SMCWPPP_CSM_WY2018,202R03916,2018,5/17/2018,1,,1/0/1900,BMI_RWB,202R03916_2018_BMI_RWB_1,0.675153653,,,202R03916_2018_SMCWPPP,1.06,202R03916_5/17/2018_1,0.895017415,0,0.688729626,,,,,,10.06,8.07,456,14.1,,
SMCWPPP_CSM_WY2020,202R04568,2020,5/27/2020,1,,1/0/1900,BMI_RWB,202R04568_2020_BMI_RWB_1,0.50077035,,,202R04568_2020_SMCWPPP,1.17,202R04568_5/27/2020_1,0.705023728,0.704283123,0.602886881,,,,,,9.56,7.62,429.8,13.7,,
SMCWPPP_CSM_WY2020,202R05464,2020,5/27/2020,1,,1/0/1900,BMI_RWB,202R05464_2020_BMI_RWB_1,0.514169547,,,202R05464_2020_SMCWPPP,1.09,202R05464_5/27/2020_1,0.633943538,1.132655944,0.580579325,,,,,,9.39,7.98,427.1,16.2,,
RWB2_Status_Yr2,202SGR010,2002,4/11/2002,1,202SGR01037357,1/0/1900,BMI_CSBP_Trans,202SGR010_4/11/2002_BMI_CSBP_Trans_RWB2_Status_Yr2_R1,1.183293,75.66666667,67,NA,,NA,,,,NA,NA,NA,,NR,NR,8.32,773,11.35,52.43,1.2
RWB2_WadeableStreams_2018,202SGR010,2018,6/7/2018,1,202SGR01043258,1/0/1900,BMI_RWB,202SGR010_43258_BMI_RWB_1,1.004685601,,,202SGR010_6/7/2018_RWQCB2,1.11,202SGR010_7-Jun-18_1,0.461532705567239,0.858180530387189,0.569249198564976,,,,,,9.91,8.14,825.9,13.2,55.8,3.08
RWB2_WadeableStreams_2018,202SGR022,2018,5/31/2018,1,202SGR02243251,1/0/1900,BMI_RWB,202SGR022_43251_BMI_RWB_1,1.134335305,,,202SGR022_5/31/2018_RWQCB2,1.23,202SGR022_31-May-18_1,0.90573525075447,0.920301368517486,0.948704401651543,,,,,,10.36,8.43,619.8,11.9,53.4,5.45
RWB2_Status_Yr2,202SGR030,2002,4/11/2002,1,202SGR03037357,1/0/1900,BMI_CSBP_Trans,202SGR030_4/11/2002_BMI_CSBP_Trans_RWB2_Status_Yr2_R1,1.017616,76.66666667,54.66666667,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
RWB2_Status_Yr2,202SGR040,2002,4/11/2002,1,202SGR04037357,1/0/1900,BMI_CSBP_Trans,202SGR040_4/11/2002_BMI_CSBP_Trans_RWB2_Status_Yr2_R1,1.21979,77.33333333,66.66666667,NA,,NA,,,,NA,NA,NA,,NR,NA,8.47,899,17.92,64.256,1.34
RWB2_WadeableStreams_2018,202SGR040,2018,6/6/2018,1,202SGR04043257,1/0/1900,BMI_RWB,202SGR040_43257_BMI_RWB_1,1.209525516,,,202SGR040_6/6/2018_RWQCB2,1.18,202SGR040_6-Jun-18_1,0.603047413107878,0.869995431148519,0.726200010997295,,,,,,9.76,8.32,881.4,13.1,55.6,1.54
RWB2_Status_Yr2,202SGR060,2002,4/11/2002,1,202SGR06037357,1/0/1900,BMI_CSBP_Trans,202SGR060_4/11/2002_BMI_CSBP_Trans_RWB2_Status_Yr2_R1,1.195078,78.66666667,63.66666667,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
RWB2_WadeableStreams_2018,202SGR061,2018,6/28/2018,1,202SGR06143279,1/0/1900,BMI_RWB,202SGR061_43279_BMI_RWB_1,1.007507154,,,202SGR061_6/28/2018_RWQCB2,1.2,202SGR061_28-Jun-18_1,0.690054417402901,0.894916693877874,0.862590422240586,,,,,,10.31,8.27,936.9,13.1,55.6,8.98
RWB2_Status_Yr2,202SGR075,2002,4/11/2002,1,202SGR07537357,1/0/1900,BMI_CSBP_Trans,202SGR075_4/11/2002_BMI_CSBP_Trans_RWB2_Status_Yr2_R1,1.21521,81.33333333,67.33333333,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
RWB2_WadeableStreams_2018,202SGR076,2018,6/13/2018,1,202SGR07643264,1/0/1900,BMI_RWB,202SGR076_43264_BMI_RWB_1,1.08422217,,,202SGR076_6/13/2018_RWQCB2,1.14,202SGR076_13-Jun-18_1,0.701531571223389,0.94676097888634,0.833834042957285,,,,,,10.22,8.39,877.9,14.9,58.8,0.88
RWB2_Status_Yr2,202SGR080,2002,4/11/2002,1,202SGR08037357,1/0/1900,BMI_CSBP_Trans,202SGR080_4/11/2002_BMI_CSBP_Trans_RWB2_Status_Yr2_R1,1.128768,73,58.66666667,NA,,NA,,,,NA,NA,NA,,NR,NR,8.51,810,12.4,54.32,1.2
RWB2_Status_Yr2,202SGR090,2002,4/11/2002,1,202SGR09037357,1/0/1900,BMI_CSBP_Trans,202SGR090_4/11/2002_BMI_CSBP_Trans_RWB2_Status_Yr2_R1,1.120373,81,66.33333333,NA,,NA,,,,NA,NA,NA,,NR,NA,8.48,782,11.85,53.33,NR
RWB2_WadeableStreams_2018,202SGR100,2018,6/13/2018,1,202SGR10043264,1/0/1900,BMI_RWB,202SGR100_43264_BMI_RWB_1,1.136925325,,,202SGR100_6/13/2018_RWQCB2,1.15,202SGR100_13-Jun-18_1,0.438228782824916,0.646427542209601,0.647161216993749,,,,,,9.85,8.24,911,12.4,54.2,1.14
RWB2_WadeableStreams_2018,202SGR105,2018,6/12/2018,1,202SGR10543263,1/0/1900,BMI_RWB,202SGR105_43263_BMI_RWB_1,1.081058116,,,202SGR105_6/12/2018_RWQCB2,1.13,202SGR105_12-Jun-18_1,0.685563360398698,0.865942718273727,0.763176542161262,,,,,,10.21,8.28,850.9,11.8,53.3,1.29
RWB2_Status_Yr2,202SGR110,2002,4/11/2002,1,202SGR11037357,1/0/1900,BMI_CSBP_Trans,202SGR110_4/11/2002_BMI_CSBP_Trans_RWB2_Status_Yr2_R1,1.176791,80.66666667,67.66666667,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
RWB2_WadeableStreams_2018,202SGR110,2018,6/6/2018,1,202SGR11043257,1/0/1900,BMI_RWB,202SGR110_43257_BMI_RWB_1,0.919553882,,,202SGR110_6/6/2018_RWQCB2,1.18,202SGR110_6-Jun-18_1,0.695485082825183,0.838820191077815,0.812438154515486,,,,,,9.6,8.07,0.3,11.8,53.2,1.93
RWB2_Status_Yr2,202SGR120,2002,4/11/2002,1,202SGR12037357,1/0/1900,BMI_CSBP_Trans,202SGR120_4/11/2002_BMI_CSBP_Trans_RWB2_Status_Yr2_R1,0.996375,70.33333333,57.33333333,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
RWB2_WadeableStreams_2018,202SGR125,2018,5/30/2018,1,202SGR12543250,1/0/1900,BMI_RWB,202SGR125_43250_BMI_RWB_1,1.017104749,,,202SGR125_5/30/2018_RWQCB2,1.19,202SGR125_30-May-18_1,0.634654547228674,0.940423743465073,0.817183836671576,,,,,,10.49,8.48,872.8,12.4,54.3,5.02
RWB2_Status_Yr2,202SGR130,2002,4/11/2002,1,202SGR13037357,1/0/1900,BMI_CSBP_Trans,202SGR130_4/11/2002_BMI_CSBP_Trans_RWB2_Status_Yr2_R1,1.144026,80.66666667,62.66666667,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
RWB2_WadeableStreams_2018,202SGR130,2018,5/30/2018,1,202SGR13043250,1/0/1900,BMI_RWB,202SGR130_43250_BMI_RWB_1,1.2222786,,,202SGR130_5/30/2018_RWQCB2,1.1,202SGR130_30-May-18_1,0.800618698380954,0.804947871440938,0.891567121082515,,,,,,10.29,8.45,801.1,12.2,54,15.4
RWB2_Status_Yr2,202SGR150,2002,4/11/2002,1,202SGR15037357,1/0/1900,BMI_CSBP_Trans,202SGR150_4/11/2002_BMI_CSBP_Trans_RWB2_Status_Yr2_R1,1.136999,78.33333333,67,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
RWB2_WadeableStreams_2018,202SGR150,2018,5/29/2018,1,202SGR15043249,1/0/1900,BMI_RWB,202SGR150_2018_23005_BMI_RWB_2,1.121901634,,,202SGR150_5/29/2018_RWQCB2,1.14,202SGR150_29-May-18_1,0.676043743475008,0.621506279480245,0.677262473917949,,,,,,9.61,8.26,1070.4,13.7,56.6,11.9
RWB2_WadeableStreams_2018,202SGR150,2018,5/29/2018,2,202SGR150_2018_2,1/0/1900,NA,NA,,,,202SGR150_5/29/2018_RWQCB2,1.14,202SGR150_29-May-18_2,0.619134353991831,0.869995431148519,0.704966264510471,,,,,,9.61,8.26,1070.4,13.7,56.6,11.9
BASMAA_Historic_SMCWPPP,202SPE020,2002,5/15/2002,1,,,BMI_CSBP_Trans,202SPE020_37391_BMI_CSBP_Transects1,0.50597,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_SMCWPPP,202SPE020,2003,5/4/2003,1,,,BMI_CSBP_Trans,202SPE020_37745_BMI_CSBP_Transects1,0.556245,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_SMCWPPP,202SPE040,2002,5/15/2002,1,,,BMI_CSBP_Trans,202SPE040_37391_BMI_CSBP_Transects1,0.645469,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_SMCWPPP,202SPE040,2003,4/27/2003,1,,,BMI_CSBP_Trans,202SPE040_37738_BMI_CSBP_Transects1,0.615276,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_SMCWPPP,202SPE050,2002,5/11/2002,1,,,BMI_CSBP_Trans,202SPE050_37387_BMI_CSBP_Transects1,0.646103,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_SMCWPPP,202SPE050,2003,4/27/2003,1,,,BMI_CSBP_Trans,202SPE050_37738_BMI_CSBP_Transects1,0.651678,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_SMCWPPP,202SPE060,2002,5/11/2002,1,,,BMI_CSBP_Trans,202SPE060_37387_BMI_CSBP_Transects1,0.24161,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_SMCWPPP,202SPE060,2003,4/27/2003,1,,,BMI_CSBP_Trans,202SPE060_37738_BMI_CSBP_Transects1,0.397648,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_SMCWPPP,202SPE070,2002,5/11/2002,1,,,BMI_CSBP_Trans,202SPE070_37387_BMI_CSBP_Transects1,0.976568,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_SMCWPPP,202SPE070,2003,4/27/2003,1,,,BMI_CSBP_Trans,202SPE070_37738_BMI_CSBP_Transects1,1.1027,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_SMCWPPP,202SPE080,2003,5/4/2003,1,,,BMI_CSBP_Trans,202SPE080_37745_BMI_CSBP_Transects1,1.075522,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_SMCWPPP,202SPE090,2002,5/11/2002,1,,,BMI_CSBP_Trans,202SPE090_37387_BMI_CSBP_Transects1,0.956085,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_SMCWPPP,202SPE090,2003,5/4/2003,1,,,BMI_CSBP_Trans,202SPE090_37745_BMI_CSBP_Transects1,0.923915,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
IBIRCMSE,202SPE090,2009,3/20/2009,1,,,BMI_TRC,202SPE090_3/20/2009_BMI_TRC_IBIRCMSE_R1,0.9379,,,NA,,202SPE090_3/20/2009_1,0.994129101,1.109633858,0.920106913,,,,,NA,NA,NA,NA,NA,NA,NA
SWB_RCMP_2009,202SPE090,2009,6/15/2009,1,202SPE09039979,1/0/1900,BMI_RWB,202SPE090_6/15/2009_BMI_RWB_SWB_RCMP_2009_R1,0.892751,83.85,63.3,202SPE090_6/15/2009,1.01,202SPE090_15-Jun-09_1,1.0578506034779,0.987539483499832,1.05444889431878,74,74,80,69,180,8.5,6.95,326,12.3,54.1,0.28
SMCWPPP_CSM_WY2019,202TUN030,2019,5/14/2019,1,,1/0/1900,BMI_RWB,202TUN030_2019_BMI_RWB_1,0.835013765867388,,,202TUN030_2019_SMCWPPP,1.09,202TUN030_5/14/2019_1,0.793082317,0,0.94953761,,,,,,9.8,8.26,756,12.7,,
SMCWPPP_CSM_WY2019,202TUN040,2019,5/14/2019,1,,1/0/1900,BMI_RWB,202TUN040_2019_BMI_RWB_1,0.93855781752022,,,202TUN040_2019_SMCWPPP,0.77,202TUN040_5/14/2019_1,0.789872175,0,0.870559958,,,,,,10.33,8.26,601.2,11.9,,
RWB2_RMC_2014,202TUN600,2014,5/12/2014,1,202TUN60041771,1/0/1900,BMI_RWB,202TUN600_2014_21100_BMI_RWB_1,0.900466495400528,84.05,59.45,202TUN600_5/12/2014_RWQCB2,0.9,202TUN600_5/12/2014_1,0.808669544416656,1.05018324398678,0.68871624040844,64,52,45,,280,10.73,8.15,1189,12.1,53.8,2.51
BASMAA_Historic_MCSTOPPP,203ACM080,2009,5/4/2009,1,,,BMI_TRC,203ACM080_39937_BMI_TargetedRiffleComposite1,0.391301,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_MCSTOPPP,203ACM100,2000,4/15/2000,1,,,BMI_CSBP_Trans,203ACM100_36631_BMI_CSBP_Transects1,0.97782,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_MCSTOPPP,203ACM100,2001,4/15/2001,1,,,BMI_CSBP_Trans,203ACM100_36996_BMI_CSBP_Transects1,0.687594,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_MCSTOPPP,203ACM100,2002,4/15/2002,1,,,BMI_CSBP_Trans,203ACM100_37361_BMI_CSBP_Transects1,0.757229,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_MCSTOPPP,203ACM100,2009,5/1/2009,1,,,BMI_TRC,203ACM100_39934_BMI_TargetedRiffleComposite1,0.754324,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_MCSTOPPP,203ACM110,2000,4/15/2000,1,,,BMI_CSBP_Trans,203ACM110_36631_BMI_CSBP_Transects1,1.223076,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_MCSTOPPP,203ACM110,2001,4/15/2001,1,,,BMI_CSBP_Trans,203ACM110_36996_BMI_CSBP_Transects1,0.791598,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_MCSTOPPP,203ACM110,2002,4/15/2002,1,,,BMI_CSBP_Trans,203ACM110_37361_BMI_CSBP_Transects1,0.958981,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_MCSTOPPP,203ACM120,2000,4/15/2000,1,,,BMI_CSBP_Trans,203ACM120_36631_BMI_CSBP_Transects1,0.887545,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_MCSTOPPP,203ACM120,2001,4/15/2001,1,,,BMI_CSBP_Trans,203ACM120_36996_BMI_CSBP_Transects1,0.554898,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_MCSTOPPP,203ACM140,2000,4/15/2000,1,,,BMI_CSBP_Trans,203ACM140_36631_BMI_CSBP_Transects1,1.073553,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_MCSTOPPP,203ACM140,2001,4/15/2001,1,,,BMI_CSBP_Trans,203ACM140_36996_BMI_CSBP_Transects1,1.07229,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_MCSTOPPP,203ACM140,2009,5/1/2009,1,,,BMI_TRC,203ACM140_39934_BMI_TargetedRiffleComposite1,0.868576,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA
RWB2_Status_Yr4,203BAX030,2005,4/11/2005,1,203BAX03038453,1/0/1900,BMI_CSBP_Comp,203BAX030_4/11/2005_BMI_CSBP_Comp_RWB2_Status_Yr4_R1,0.22195,14.15,16.05,NA,,NA,,,,NA,NA,NA,,NR,10.84,7.9,966,12.15,53.87,1.13
BASMAA_Historic_CCCWP,203BAX030,2006,5/4/2006,1,,,BMI_TRC,203BAX030_38841_BMI_TargetedRiffleComposite1,0.21407,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_CCCWP,203BAX030,2007,5/10/2007,1,,,BMI_CSBP_Comp,203BAX030_39212_BMI_CSBP_Composite1,0.352935,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_CCCWP,203BAX030,2008,4/12/2008,1,,,BMI_CSBP_Comp,203BAX030_39550_BMI_CSBP_Composite1,0.289934,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_CCCWP,203BAX030,2009,4/30/2009,1,,,BMI_CSBP_Comp,203BAX030_39933_BMI_CSBP_Composite1,0.34877,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_CCCWP,203BAX045,2005,5/27/2005,1,,,BMI_TRC,203BAX045_38499_BMI_TargetedRiffleComposite1,0.308566,,,NA,,NA,,,,NA,NA,NA,,NR,NR,NR,NR,NR,NR,2.74
BASMAA_Historic_CCCWP,203BAX045,2006,5/3/2006,1,,,BMI_TRC,203BAX045_38840_BMI_TargetedRiffleComposite1,0.319701,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_CCCWP,203BAX045,2007,5/8/2007,1,,,BMI_CSBP_Comp,203BAX045_39210_BMI_CSBP_Composite1,0.156286,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_CCCWP,203BAX045,2008,4/7/2008,1,,,BMI_CSBP_Comp,203BAX045_39545_BMI_CSBP_Composite1,0.156286,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA
RWB2_Status_Yr4,203BAX050,2005,4/19/2005,1,203BAX05038461,,BMI_CSBP_Comp,203BAX050_4/19/2005_BMI_CSBP_Comp_RWB2_Status_Yr4_R1,0.070425,14,8,NA,,NA,,,,NA,NA,NA,,,5.2,,590,14.8,58.6,
BASMAA_Historic_CCCWP,203CER010,2006,5/4/2006,1,,,BMI_TRC,203CER010_38841_BMI_TargetedRiffleComposite1,0.340535,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_CCCWP,203CER010,2007,5/11/2007,1,,,BMI_CSBP_Comp,203CER010_39213_BMI_CSBP_Composite1,0.240686,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_CCCWP,203CER010,2008,5/6/2008,1,,,BMI_CSBP_Comp,203CER010_39574_BMI_CSBP_Composite1,0.303522,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_CCCWP,203CER010,2009,4/30/2009,1,,,BMI_CSBP_Comp,203CER010_39933_BMI_CSBP_Composite1,0.166812,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_CCCWP,203CER010,2010,6/23/2010,1,,,BMI_CSBP_Comp,203CER010_40352_BMI_CSBP_Composite1,0.341749,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA
RWB2_Status_Yr4,203CER020,2005,4/11/2005,1,203CER02038453,1/0/1900,BMI_CSBP_Comp,203CER020_4/11/2005_BMI_CSBP_Comp_RWB2_Status_Yr4_R1,0.31912,17,8,NA,,NA,,,,NA,NA,NA,,NR,NR,NR,NR,NR,NR,3.55666666666667
BASMAA_Historic_CCCWP,203CER020,2006,5/5/2006,1,,,BMI_TRC,203CER020_38842_BMI_TargetedRiffleComposite1,0.654661,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_CCCWP,203CER020,2008,5/6/2008,1,,,BMI_CSBP_Comp,203CER020_39574_BMI_CSBP_Composite1,0.352508,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_CCCWP,203CER040,2002,3/30/2002,1,,,BMI_TRC,203CER040_37345_BMI_TargetedRiffleComposite1,0.442839,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
